Date,Open,High,Low,Close,Adj Close,Volume
2016-11-06,943.108093,957.105713,937.410400,950.593384,950.593384,80029339
2016-11-07,949.543335,950.751587,936.540222,939.945496,939.945496,86954963
2016-11-08,939.889343,946.989319,938.674011,943.600952,943.600952,105893101
2016-11-09,943.570374,992.401733,944.647949,969.475159,969.475159,177507832
2016-11-10,968.900085,969.711731,957.999878,963.681213,963.681213,92670345
2016-11-11,963.709473,972.243408,961.667236,969.948853,969.948853,85457762
2016-11-12,970.410522,970.946716,953.192932,954.572632,954.572632,87492403
2016-11-13,954.764832,954.847473,930.555786,949.426758,949.426758,108622193
2016-11-14,949.380737,957.226685,947.540039,954.175415,954.175415,85254726
2016-11-15,955.221619,962.712280,954.005188,957.198730,957.198730,96898981
2016-11-16,956.590698,1003.897400,951.955750,998.862549,998.862549,189644807
2016-11-17,999.772522,1014.604553,999.523071,1002.690063,1002.690063,146929103
2016-11-18,1002.322021,1018.950500,998.264893,1014.564636,1014.564636,117931454
2016-11-19,1014.899353,1020.844299,1004.955994,1014.606506,1014.606506,149309739
2016-11-20,1014.961487,1019.822449,968.506409,987.543030,987.543030,208195304
2016-11-21,987.865906,996.355164,983.704773,991.035828,991.035828,81511697
2016-11-22,991.565430,1014.784424,987.240784,1008.908752,1008.908752,174437777
2016-11-23,1009.437866,1010.798340,995.700134,1005.052979,1005.052979,103318821
2016-11-24,1005.088074,1008.820618,988.817871,998.723877,998.723877,115913722
2016-11-25,998.930298,1003.302734,989.126770,1003.302734,1003.302734,91730121
2016-11-26,1003.116089,1004.067078,987.036682,994.824768,994.824768,74353541
2016-11-27,994.899170,999.743530,989.158020,989.638062,989.638062,71112373
2016-11-28,990.245117,989.666016,990.245117,986.283752,986.283752,82955479
2016-11-29,986.975342,992.119751,987.541138,987.695496,987.695496,91989859
2016-11-30,988.608521,1000.803833,987.994019,1001.090149,1001.090149,112865049
2016-12-01,1001.566772,1009.112427,1001.044556,1006.736450,1006.736450,107038471
2016-12-02,1007.762085,1037.717407,1007.610596,1034.120972,1034.120972,169625327
2016-12-03,1034.525024,1034.525024,1016.723083,1025.096436,1025.096436,92449221
2016-12-04,1025.738403,1031.261841,1021.116455,1031.261841,1031.261841,80699458
2016-12-05,1030.624878,1030.723511,1001.281738,1006.719055,1006.719055,141133065
2016-12-06,1006.745544,1017.128845,1006.821411,1014.278076,1014.278076,154244530
2016-12-07,1014.260864,1020.905762,1009.555786,1015.777771,1015.777771,127513869
2016-12-08,1015.703674,1023.995789,1012.350830,1016.852539,1016.852539,105683624
